t,x,y,z,roll,pitch,yaw
8.60000,3.48000,0.01342,0.30342,0.02379,-0.00389,0.00000
8.70000,3.52000,0.01431,0.29994,0.02769,-0.00344,-0.00000
8.80000,3.56000,0.01506,0.29657,0.03120,-0.00307,0.00000
8.90000,3.60000,0.01568,0.29337,0.03423,-0.00276,-0.00000
9.00000,3.64000,0.01614,0.29036,0.03669,-0.00250,-0.00000
9.10000,3.68000,0.01645,0.28759,0.03851,-0.00226,0.00000
9.20000,3.72000,0.01659,0.28508,0.03963,-0.00201,0.00000
9.30000,3.76000,0.01655,0.28284,0.04002,-0.00174,0.00000
9.40000,3.80000,0.01634,0.28089,0.03964,-0.00141,0.00000
9.50000,3.84000,0.01594,0.27925,0.03851,-0.00100,-0.00000
9.60000,3.88000,0.01536,0.27791,0.03663,-0.00050,-0.00000
9.70000,3.92000,0.01461,0.27687,0.03406,0.00011,0.00000
9.80000,3.96000,0.01368,0.27614,0.03085,0.00082,-0.00000
9.90000,4.00000,0.01259,0.27569,0.02710,0.00162,0.00000
10.00000,4.04000,0.01135,0.27552,0.02292,0.00250,0.00000
10.10000,4.08000,0.00996,0.27560,0.01840,0.00344,0.00000
10.20000,4.12000,0.00845,0.27593,0.01370,0.00441,-0.00000
10.30000,4.16000,0.00682,0.27648,0.00892,0.00539,0.00000
10.40000,4.20000,0.00510,0.27722,0.00421,0.00632,-0.00000
10.50000,4.24000,0.00330,0.27815,-0.00032,0.00720,-0.00000
10.60000,4.28000,0.00143,0.27924,-0.00456,0.00799,0.00000
10.70000,4.32000,-0.00048,0.28046,-0.00841,0.00867,0.00000
10.80000,4.36000,-0.00241,0.28181,-0.01179,0.00922,0.00000
10.90000,4.40000,-0.00435,0.28325,-0.01466,0.00964,0.00000
11.00000,4.44000,-0.00628,0.28478,-0.01698,0.00993,0.00000
11.10000,4.48000,-0.00818,0.28638,-0.01875,0.01007,0.00000
11.20000,4.52000,-0.01004,0.28803,-0.01998,0.01010,-0.00000
11.30000,4.56000,-0.01183,0.28971,-0.02072,0.01000,0.00000
11.40000,4.60000,-0.01354,0.29141,-0.02102,0.00980,-0.00000
11.50000,4.64000,-0.01514,0.29311,-0.02094,0.00950,0.00000
11.60000,4.68000,-0.01664,0.29481,-0.02055,0.00910,0.00000
11.70000,4.72000,-0.01800,0.29648,-0.01993,0.00862,0.00000
11.80000,4.76000,-0.01921,0.29811,-0.01916,0.00804,0.00000
11.90000,4.80000,-0.02025,0.29970,-0.01829,0.00736,0.00000
12.00000,4.84000,-0.02112,0.30123,-0.01740,0.00656,0.00000
12.10000,4.88000,-0.02179,0.30269,-0.01653,0.00564,0.00000
12.20000,4.92000,-0.02225,0.30407,-0.01569,0.00457,-0.00000
12.30000,4.96000,-0.02250,0.30537,-0.01492,0.00333,0.00000
12.40000,5.00000,-0.02252,0.30657,-0.01420,0.00193,0.00000
12.50000,5.04000,-0.02231,0.30768,-0.01353,0.00035,0.00000
12.60000,5.08000,-0.02187,0.30868,-0.01288,-0.00139,0.00000
12.70000,5.12000,-0.02119,0.30959,-0.01221,-0.00328,0.00000
12.80000,5.16000,-0.02029,0.31039,-0.01149,-0.00528,0.00000
12.90000,5.20000,-0.01917,0.31109,-0.01068,-0.00734,0.00000
13.00000,5.24000,-0.01783,0.31169,-0.00976,-0.00942,0.00000
13.10000,5.28000,-0.01630,0.31220,-0.00869,-0.01144,0.00000
13.20000,5.32000,-0.01459,0.31262,-0.00745,-0.01332,0.00000
13.30000,5.36000,-0.01273,0.31294,-0.00605,-0.01499,-0.00000
13.40000,5.40000,-0.01073,0.31318,-0.00449,-0.01636,0.00000
13.50000,5.44000,-0.00863,0.31333,-0.00278,-0.01737,0.00000
13.60000,5.48000,-0.00644,0.31340,-0.00097,-0.01795,0.00000
13.70000,5.52000,-0.00420,0.31338,0.00091,-0.01805,0.00000
13.80000,5.56000,-0.00193,0.31328,0.00280,-0.01765,0.00000
13.90000,5.60000,0.00034,0.31309,0.00466,-0.01673,-0.00000
14.00000,5.64000,0.00258,0.31281,0.00641,-0.01530,0.00000
14.10000,5.68000,0.00478,0.31244,0.00801,-0.01342,0.00000
14.20000,5.72000,0.00691,0.31197,0.00941,-0.01113,-0.00000
14.30000,5.76000,0.00895,0.31140,0.01055,-0.00851,0.00000
14.40000,5.80000,0.01088,0.31073,0.01141,-0.00567,-0.00000
14.50000,5.84000,0.01270,0.30996,0.01196,-0.00271,0.00000
14.60000,5.88000,0.01438,0.30909,0.01219,0.00027,0.00000
14.70000,5.92000,0.01593,0.30812,0.01209,0.00314,0.00000
14.80000,5.96000,0.01733,0.30706,0.01169,0.00580,0.00000
14.90000,6.00000,0.01857,0.30592,0.01100,0.00816,0.00000
15.00000,6.04000,0.01966,0.30471,0.01005,0.01014,0.00000
15.10000,6.08000,0.02060,0.30344,0.00889,0.01168,0.00000
15.20000,6.12000,0.02138,0.30213,0.00757,0.01275,0.00000
15.30000,6.16000,0.02200,0.30080,0.00612,0.01334,0.00000
15.40000,6.20000,0.02246,0.29948,0.00460,0.01345,0.00000
15.50000,6.24000,0.02276,0.29817,0.00306,0.01311,0.00000
15.60000,6.28000,0.02291,0.29692,0.00155,0.01238,0.00000
15.70000,6.32000,0.02289,0.29573,0.00011,0.01132,0.00000
15.80000,6.36000,0.02272,0.29463,-0.00122,0.01001,-0.00000
15.90000,6.40000,0.02239,0.29364,-0.00239,0.00853,0.00000
16.00000,6.44000,0.02190,0.29278,-0.00339,0.00695,0.00000
16.10000,6.48000,0.02126,0.29205,-0.00418,0.00536,0.00000
16.20000,6.52000,0.02045,0.29148,-0.00474,0.00382,0.00000
16.30000,6.56000,0.01948,0.29106,-0.00505,0.00240,-0.00000
16.40000,6.60000,0.01834,0.29080,-0.00512,0.00113,0.00000
16.50000,6.64000,0.01705,0.29069,-0.00493,0.00005,0.00000
16.60000,6.68000,0.01560,0.29073,-0.00448,-0.00081,0.00000
16.70000,6.72000,0.01399,0.29091,-0.00379,-0.00146,0.00000
16.80000,6.76000,0.01223,0.29122,-0.00287,-0.00190,-0.00000
16.90000,6.80000,0.01032,0.29164,-0.00175,-0.00214,0.00000
17.00000,6.84000,0.00827,0.29216,-0.00046,-0.00221,0.00000
17.10000,6.88000,0.00610,0.29276,0.00098,-0.00213,-0.00000
17.20000,6.92000,0.00380,0.29341,0.00250,-0.00193,0.00000
17.30000,6.96000,0.00139,0.29410,0.00406,-0.00163,0.00000
17.40000,7.00000,-0.00110,0.29482,0.00561,-0.00126,0.00000
17.50000,7.04000,-0.00366,0.29554,0.00708,-0.00084,-0.00000
17.60000,7.08000,-0.00628,0.29625,0.00843,-0.00040,-0.00000
17.70000,7.12000,-0.00892,0.29694,0.00959,0.00006,-0.00000
17.80000,7.16000,-0.01156,0.29760,0.01051,0.00052,0.00000
17.90000,7.20000,-0.01417,0.29822,0.01116,0.00096,-0.00000
18.00000,7.24000,-0.01672,0.29880,0.01149,0.00138,0.00000
18.10000,7.28000,-0.01918,0.29932,0.01148,0.00175,0.00000
18.20000,7.32000,-0.02152,0.29979,0.01113,0.00207,0.00000
18.30000,7.36000,-0.02370,0.30020,0.01044,0.00232,-0.00000
18.40000,7.40000,-0.02569,0.30056,0.00944,0.00248,0.00000
18.50000,7.44000,-0.02745,0.30087,0.00815,0.00254,0.00000
18.60000,7.48000,-0.02896,0.30112,0.00664,0.00248,0.00000
18.70000,7.52000,-0.03018,0.30133,0.00495,0.00228,0.00000
18.80000,7.56000,-0.03108,0.30149,0.00315,0.00194,0.00000
18.90000,7.60000,-0.03164,0.30161,0.00131,0.00144,-0.00000
19.00000,7.64000,-0.03184,0.30169,-0.00049,0.00079,0.00000
19.10000,7.68000,-0.03166,0.30173,-0.00220,-0.00000,0.00000
19.20000,7.72000,-0.03110,0.30173,-0.00375,-0.00093,-0.00000
19.30000,7.76000,-0.03015,0.30170,-0.00509,-0.00195,0.00000
19.40000,7.80000,-0.02881,0.30163,-0.00619,-0.00304,0.00000
19.50000,7.84000,-0.02709,0.30154,-0.00703,-0.00416,0.00000
19.60000,7.88000,-0.02500,0.30143,-0.00761,-0.00525,0.00000
19.70000,7.92000,-0.02257,0.30130,-0.00794,-0.00627,0.00000
19.80000,7.96000,-0.01981,0.30116,-0.00804,-0.00716,0.00000
19.90000,8.00000,-0.01676,0.30101,-0.00795,-0.00788,0.00000
20.00000,8.04000,-0.01345,0.30086,-0.00773,-0.00839,-0.00000
20.10000,8.08000,-0.00992,0.30071,-0.00743,-0.00864,-0.00000
20.20000,8.12000,-0.00622,0.30057,-0.00709,-0.00863,0.00000
20.30000,8.16000,-0.00240,0.30045,-0.00679,-0.00834,0.00000
20.40000,8.20000,0.00151,0.30035,-0.00655,-0.00778,0.00000
20.50000,8.24000,0.00544,0.30028,-0.00642,-0.00697,0.00000
20.60000,8.28000,0.00936,0.30024,-0.00643,-0.00593,0.00000
20.70000,8.32000,0.01319,0.30022,-0.00659,-0.00471,0.00000
20.80000,8.36000,0.01690,0.30023,-0.00689,-0.00336,0.00000
20.90000,8.40000,0.02043,0.30026,-0.00733,-0.00195,0.00000
21.00000,8.44000,0.02373,0.30031,-0.00786,-0.00051,0.00000
21.10000,8.48000,0.02675,0.30037,-0.00846,0.00087,0.00000
21.20000,8.52000,0.02945,0.30043,-0.00907,0.00217,0.00000
21.30000,8.56000,0.03179,0.30048,-0.00965,0.00333,0.00000
21.40000,8.60000,0.03373,0.30051,-0.01013,0.00432,0.00000
21.50000,8.64000,0.03523,0.30051,-0.01048,0.00511,0.00000
21.60000,8.68000,0.03627,0.30048,-0.01064,0.00570,0.00000
21.70000,8.72000,0.03682,0.30039,-0.01057,0.00610,0.00000
21.80000,8.76000,0.03687,0.30025,-0.01027,0.00630,0.00000
21.90000,8.80000,0.03641,0.30006,-0.00970,0.00633,0.00000
22.00000,8.84000,0.03544,0.29981,-0.00887,0.00623,0.00000
22.10000,8.88000,0.03397,0.29951,-0.00780,0.00601,0.00000
22.20000,8.92000,0.03200,0.29916,-0.00650,0.00571,0.00000
22.30000,8.96000,0.02957,0.29879,-0.00501,0.00535,0.00000
22.40000,9.00000,0.02671,0.29840,-0.00336,0.00495,0.00000
22.50000,9.04000,0.02345,0.29801,-0.00161,0.00453,0.00000
22.60000,9.08000,0.01984,0.29764,0.00020,0.00410,0.00000
22.70000,9.12000,0.01595,0.29732,0.00203,0.00365,-0.00000
22.80000,9.16000,0.01182,0.29707,0.00383,0.00318,0.00000
22.90000,9.20000,0.00753,0.29692,0.00557,0.00268,0.00000
23.00000,9.24000,0.00314,0.29687,0.00721,0.00214,0.00000
23.10000,9.28000,-0.00126,0.29696,0.00873,0.00154,0.00000
23.20000,9.32000,-0.00562,0.29720,0.01011,0.00086,0.00000
23.30000,9.36000,-0.00985,0.29759,0.01134,0.00012,0.00000
23.40000,9.40000,-0.01389,0.29814,0.01240,-0.00071,0.00000
23.50000,9.44000,-0.01767,0.29885,0.01331,-0.00159,0.00000
23.60000,9.48000,-0.02113,0.29971,0.01405,-0.00252,0.00000
23.70000,9.52000,-0.02422,0.30071,0.01463,-0.00347,0.00000
23.80000,9.56000,-0.02688,0.30183,0.01505,-0.00439,0.00000
23.90000,9.60000,-0.02908,0.30303,0.01532,-0.00524,0.00000
24.00000,9.64000,-0.03080,0.30430,0.01543,-0.00597,0.00000
24.10000,9.68000,-0.03201,0.30558,0.01538,-0.00655,0.00000
24.20000,9.72000,-0.03271,0.30686,0.01518,-0.00692,0.00000
24.30000,9.76000,-0.03289,0.30809,0.01480,-0.00704,0.00000
24.40000,9.80000,-0.03258,0.30922,0.01426,-0.00688,-0.00000
24.50000,9.84000,-0.03178,0.31023,0.01355,-0.00645,-0.00000
24.60000,9.88000,-0.03054,0.31107,0.01267,-0.00572,0.00000
24.70000,9.92000,-0.02887,0.31171,0.01162,-0.00472,0.00000
24.80000,9.96000,-0.02683,0.31214,0.01041,-0.00349,0.00000
24.90000,10.00000,-0.02446,0.31232,0.00904,-0.00206,0.00000
25.00000,10.04000,-0.02181,0.31225,0.00755,-0.00050,-0.00000
25.10000,10.08000,-0.01894,0.31190,0.00595,0.00114,0.00000
25.20000,10.12000,-0.01589,0.31129,0.00427,0.00277,0.00000
25.30000,10.16000,-0.01272,0.31041,0.00253,0.00433,0.00000
25.40000,10.20000,-0.00949,0.30929,0.00078,0.00574,0.00000
25.50000,10.24000,-0.00624,0.30793,-0.00095,0.00696,0.00000
25.60000,10.28000,-0.00302,0.30636,-0.00263,0.00794,-0.00000
25.70000,10.32000,0.00012,0.30461,-0.00422,0.00864,0.00000
25.80000,10.36000,0.00315,0.30271,-0.00569,0.00905,-0.00000
25.90000,10.40000,0.00602,0.30070,-0.00702,0.00918,0.00000
